"gamma","beta","sigma","lp__"
0.0607965246336249,4.60125927612107,0.00078282309362396,7452.48178018609
0.0589267250879897,4.82880137450547,0.000790419692538287,7418.3694415744
0.0621062309583991,4.30135348180042,0.000763003985163623,7472.57881418046
0.0607273004509481,4.14506089308498,0.000820070717884482,7434.76451559387
0.0588913583530112,4.28043580081653,0.000785892568756748,7432.55369410088
0.0588547665283648,4.50413888562207,0.000779804123519277,7440.30150298482
0.057907613132508,4.59367662424878,0.000743537580008833,7480.23591300932
0.0597393773410236,4.48092379250067,0.000780127419145905,7490.20911591754
0.0598859944767668,4.15716891922169,0.000801688827688793,7407.97305233421
0.0596935564138268,4.44876466555971,0.000767840075250745,7435.91058905806
0.0593609518222631,4.81101457889355,0.000776727203969606,7469.32133796974
0.0596515380461185,4.45447507548135,0.000760308097843896,7460.60814529685
0.0610449587310068,4.119168623741,0.00075427675243892,7515.32332763903
0.0586992652067514,4.17902565989998,0.000820330705003026,7451.92767732936
0.0596090720047593,4.62253211561633,0.000791969369469354,7457.28065314473
0.0589965010246333,4.6922057466635,0.000830116446855006,7412.36962679607
0.0589565343201262,4.47298635755301,0.000823396335193924,7423.51911048791
0.0588439512698821,4.30456965655762,0.000808576398814923,7456.08600623124
0.0610793505682036,4.46166973744547,0.000806321256833436,7433.13922664159
0.0607786928077166,4.62638344729066,0.000789239703980082,7481.87640863412
0.0583699370268797,4.91522276423006,0.000855467106797113,7420.8141039642
0.0599675484491694,4.82138814696492,0.000823937480267681,7479.90010642248
0.058481657715663,4.87960972700206,0.000795637901534785,7403.01120035513
0.0603420577001254,4.29567876072739,0.000832493886449412,7412.69798590995
0.0571833167114407,4.70885480207629,0.000811173878984817,7457.82741977657
0.0595774352998381,4.37361201603563,0.000802428519932105,7425.23540344297
0.0578304070246024,4.91495298383013,0.000831629028133602,7422.38555676396
0.0610098459898563,4.63938163205762,0.000814055759368762,7427.11626508081
0.0600172833693077,4.4974576699426,0.000792187326715124,7450.57098248972
0.0607552802081222,4.95933974499235,0.000808194408693043,7430.34638194135
0.0605590924789478,4.44626107418022,0.00084040227762679,7408.1734806227
