"gamma","beta","sigma","lp__"
0.0241469388128343,15.9549777308424,0.00247462904278945,7324.35952731429
0.0240447436901375,15.428217889271,0.00244914212600461,7313.20170960017
0.024899519393393,14.7644298008731,0.00233715716397271,7334.31320462162
0.0240911693907342,14.2672112692151,0.00221412406793271,7311.52731910941
0.0245585033614894,14.681590426325,0.00232967073854845,7342.10662631028
0.0236950141172033,15.2758708005497,0.00244906928205216,7324.74826266382
0.0252250121608836,14.5374251850662,0.00234140258440485,7313.52973496274
0.0242625414134394,14.8713896269879,0.0024250573704893,7322.53310901362
0.0236003488222289,15.3198498279706,0.00233004129489035,7339.76785034957
0.0240825482491044,13.6681715566155,0.00247453042458395,7303.35552371504
0.0236858702392609,16.6478166116974,0.00243683655201709,7294.68393024209
0.0250010049228366,13.404934572757,0.00245196976287435,7300.92454568614
0.0245666725736732,13.7109294230003,0.00244209147462033,7299.70789360012
0.0242681347731229,14.188189558982,0.00235556236725408,7323.68852565771
0.0244942384553762,14.7110517352234,0.00239612698031551,7353.32117642529
0.0237095755731938,15.2894536948116,0.00243042544304339,7374.15724176218
0.0242083840482282,15.166751238714,0.00256124883652128,7320.4001016703
0.0238338692089359,14.3177346003718,0.00251185328930483,7277.7003628467
0.0237211978019572,14.7008024572753,0.00256418147021283,7332.89041820404
0.0244629870426332,14.7840979569931,0.00246426267645534,7350.45773819552
0.0234566861398018,15.5923341598745,0.00237059745473996,7373.60393885538
0.0231795176976103,14.8210140081436,0.00239227234462164,7342.17705314618
0.0239634259165375,12.5986528645164,0.00252830546348717,7315.98571733493
0.0231323485918634,14.6779900042714,0.00245972705001419,7310.48622816319
0.0240673222128165,14.6726705091527,0.00239784166832138,7297.36468322161
0.0244163931504492,15.7565491780583,0.00235685749875426,7337.06919267798
0.0233803960271734,16.9023520196909,0.00253766257650812,7325.72758657374
0.0231688335708544,13.638536032705,0.00240799106604548,7258.59574537475
0.0232307584622331,14.8424760956448,0.00246625364382955,7365.78602801196
0.0243244343166346,14.1358849019003,0.00234095443998848,7340.23042617586
0.0236680151476157,16.0892246870547,0.00234401850332294,7298.67752633223
0.024601618702196,13.4014971471333,0.00230592967517082,7346.08562677491
0.0242208472134546,14.0978011292567,0.0022988029486121,7331.58625745114
0.0243113571719206,15.0821229495093,0.0024169343094839,7314.89390342392
0.0241972446821942,13.8569579724853,0.0023295046482647,7334.3756357608
0.0235002652586757,14.7938936467601,0.00227449408549888,7361.67748934712
0.0241156176096249,14.8783064077044,0.00231627867360905,7365.31640392743
0.0243648030113736,14.723878841164,0.00250240256789607,7317.586520937
0.0235001570675369,14.8421499338528,0.00246209361097292,7307.42188349286
0.0244249162947973,14.2865138797288,0.00241565299589163,7294.54286927694
0.024237555472336,15.9593988812448,0.0025057696507391,7311.03306030654
0.024195628409869,15.1028455170796,0.00240511359884053,7330.54611915271
0.0241848529572674,15.4601396235839,0.00237696239737977,7390.51315813031
0.023823676836623,12.0519839917029,0.00238409542716012,7335.2423669152
0.0237767550251533,14.5853526020674,0.0024295389198554,7290.97248758187
0.0243487504629206,15.0387449432983,0.00252752569905985,7304.50231636971
0.0233392465865621,15.8965205732613,0.00240795709421261,7332.49761804545
0.0240896421606296,15.6291408499535,0.00245073732144693,7328.74332126093
0.0240066285602166,15.3779751244614,0.00240793990532965,7325.68719780653
0.0245321518827875,13.3567028870254,0.00235274493233353,7318.57425136134
0.0241780556539842,16.006277601306,0.00231457945542722,7362.97059615355
0.0234936842237246,14.832038313427,0.00221266709617269,7386.46225932991
0.0239830461681866,15.5098064281321,0.00232604151680661,7336.98530787404
0.0238938154785828,14.2383935723096,0.00225581045605952,7315.05568116655
0.0240504699969712,15.0624839696784,0.00247919738217292,7344.64384179911
0.0237755220204061,14.4059540663499,0.00233761825214315,7353.44499280802
0.0246803742682015,15.293065847055,0.00238003978151141,7366.00768216781
0.0245126372228687,14.3049442476098,0.002519221660425,7326.21649132303
0.0237589115809864,14.9114078542386,0.00225063280358043,7319.75501811035
0.0238605446033497,15.6976914981468,0.00245612489303899,7377.90585531268
0.0242338988915545,13.3115169217691,0.00229423181163158,7335.59309442626
0.0239219385130491,14.4273677953622,0.0023056561296901,7323.19952656208
0.0236998750631136,15.6495164451348,0.00238124568226539,7306.3082198595
0.02410725192163,14.4632458510115,0.00244592794028431,7315.3897125252
0.0243687869631235,14.7483009979099,0.00243432918279808,7347.87275418415
0.0237503355535519,15.9261824037942,0.00236849851742145,7390.12782493823
0.023673397929386,16.39894062516,0.00237894427677716,7342.3292391926
0.0239147639890445,14.6282812700877,0.00229200741018501,7327.96216522551
0.023416695930605,13.591967328787,0.00233136374045945,7267.52929266279
0.0243131551029768,14.2984564372189,0.00241281949297832,7321.42217858416
0.0236291953763445,17.459806278132,0.00234261221937945,7400.08778995314
0.0234848770426277,15.0022120546705,0.00234874904934589,7347.88650893912
0.023821467823318,15.7372099812363,0.00248286044309027,7345.27197257028
0.0240160824430246,15.345502331672,0.00235577960713167,7352.78980145339
0.0242891329260203,15.2392948294008,0.00239984771336211,7355.94274046159
0.0241974345460439,14.7862533548167,0.00225912768453901,7367.32774137736
0.0234215377833673,15.1390042855137,0.00231414589959362,7344.71155731076
0.0241117046433618,15.646469352545,0.00241928740767984,7348.76543323432
0.0245780374490238,15.612313784858,0.0024390891314769,7327.00721114831
0.0241433091067658,14.4607026444163,0.00237899726401222,7295.26328035556
0.0245774424502851,15.7302260966144,0.00236923320136645,7334.84465106432
0.0239789064548334,15.357711065208,0.00230954972569922,7331.9148074536
0.0240350277551159,16.9754431027369,0.00250491759899979,7354.05561485421
0.0244310966177273,14.6198136125665,0.00240289254175213,7306.98469767059
